video_name,model,gpu time,frame rate,f1,temporal,spatial,bandwidth
highway_14,faster_rcnn_resnet101,0.08,0.08,0.423059326,2,NA,NA
highway_14,faster_rcnn_resnet101,0.072,0.072,0.386783874,1.8,NA,NA
highway_14,faster_rcnn_resnet101,0.06,0.06,0.33958865,1.5,NA,NA
highway_14,faster_rcnn_resnet101,0.048,0.048,0.274071838,1.2,NA,NA
highway_14,faster_rcnn_resnet101,0.04,0.04,0.238263814,1,NA,NA
highway_15,faster_rcnn_resnet101,0.04,0.04,0.202389318,1,NA,NA
highway_15,faster_rcnn_inception_v2,0.021886792,0.04,0.159927188,1,NA,NA
highway_15,ssd_mobilenet_v2,0.011698113,0.04,0.150228433,1,NA,NA
highway_15,faster_rcnn_resnet101,0.8,0.8,0.990752596,20,NA,NA
highway_15,faster_rcnn_resnet101,0.6,0.6,0.978632479,15,NA,NA
highway_15,faster_rcnn_resnet101,0.4,0.4,0.940825036,10,NA,NA
highway_15,faster_rcnn_resnet101,0.2,0.2,0.801134752,5,NA,NA
highway_15,faster_rcnn_resnet101,0.16,0.16,0.687312687,4,NA,NA
highway_15,faster_rcnn_resnet101,0.12,0.12,0.54691305,3,NA,NA
highway_15,faster_rcnn_resnet101,0.1,0.1,0.461908127,2.5,NA,NA
highway_15,faster_rcnn_resnet101,0.08,0.08,0.3845604,2,NA,NA
highway_15,faster_rcnn_resnet101,0.072,0.072,0.352790797,1.8,NA,NA
highway_15,faster_rcnn_resnet101,0.06,0.06,0.292682927,1.5,NA,NA
highway_15,faster_rcnn_resnet101,0.048,0.048,0.237985612,1.2,NA,NA
highway_15,faster_rcnn_resnet101,0.04,0.04,0.202389318,1,NA,NA
highway_16,faster_rcnn_resnet101,0.04,0.04,0.233091787,1,NA,NA
highway_16,faster_rcnn_inception_v2,0.021886792,0.04,0.185481481,1,NA,NA
highway_16,ssd_mobilenet_v2,0.011698113,0.04,0.152507973,1,NA,NA
highway_16,faster_rcnn_resnet101,0.8,0.8,0.989452095,20,NA,NA
highway_16,faster_rcnn_resnet101,0.6,0.6,0.982773723,15,NA,NA
